teams,value
"[4143, 4646, 4174, 5847, 3928, 111, 3061, 2530]",1145
"[4174, 4143, 5847, 4646, 111, 3061, 3928, 4663]",1144
"[5847, 4143, 4646, 111, 3928, 4174, 2220, 2530]",1143
"[5847, 4143, 4646, 111, 3928, 4174, 695, 2530]",1126
"[4646, 4143, 5847, 4174, 111, 3928, 3061, 695]",1119
"[5847, 4143, 4646, 3928, 4174, 3061, 2530, 695]",1117
"[4143, 5847, 4174, 111, 3928, 4646, 4663, 3061]",1108
"[4174, 4143, 5847, 4646, 111, 4663, 3928, 3061]",1102
"[4174, 4143, 4646, 5847, 3061, 3928, 4663, 695]",1101
"[4174, 4143, 5847, 4646, 4663, 695, 111, 3928]",1100
"[4143, 5847, 4646, 111, 3928, 4174, 2220, 3061]",1096
"[4646, 5847, 4143, 3928, 4174, 111, 3061, 695]",1094
"[4174, 4143, 5847, 111, 4646, 3928, 3061, 4663]",1094
"[4646, 5847, 4143, 4174, 3061, 3928, 695, 2220]",1093
"[4143, 5847, 4174, 4646, 3928, 111, 3061, 4663]",1086
"[4174, 4143, 5847, 4646, 4663, 695, 111, 3061]",1084
"[4646, 4143, 5847, 4174, 111, 3061, 3928, 695]",1075
"[4143, 5847, 4646, 4174, 3928, 111, 4663, 3061]",1073
"[4143, 4646, 5847, 3928, 4174, 111, 3061, 2530]",1056
"[5847, 4646, 4143, 4174, 3061, 3928, 695, 2220]",1045
"[5847, 4143, 4646, 4174, 111, 3061, 2220, 3928]",1044
"[4143, 4646, 5847, 4174, 3928, 111, 2530, 3061]",1039
"[4143, 5847, 4646, 3928, 4174, 3061, 2530, 695]",1034
"[5847, 4646, 4143, 3928, 4174, 3061, 111, 695]",1031
"[4646, 5847, 4143, 3928, 4174, 3061, 111, 2530]",1030
"[4646, 5847, 4143, 4174, 3928, 111, 3061, 2530]",1029
"[5847, 4646, 4143, 4174, 111, 695, 3928, 3061]",1027
"[4143, 5847, 4646, 4174, 3928, 111, 2220, 3061]",1026
"[5847, 4143, 4646, 3928, 4174, 3061, 111, 695]",1024
"[4174, 4143, 4646, 5847, 4663, 695, 111, 3928]",1021
"[4646, 4143, 5847, 3928, 4174, 3061, 2530, 695]",1019
"[4174, 4143, 5847, 111, 4646, 4663, 3061, 3928]",991
"[4143, 5847, 4174, 4646, 3928, 111, 3061, 2530]",989
"[5847, 4646, 4143, 3928, 4174, 3061, 111, 2530]",987
"[4174, 4143, 5847, 4646, 3061, 111, 3928, 4663]",986
"[4174, 4143, 4646, 5847, 4663, 695, 3061, 3928]",984
"[4646, 5847, 4143, 3928, 4174, 111, 2220, 3061]",983
"[4174, 4143, 5847, 4646, 4663, 695, 3061, 3928]",977
"[4143, 5847, 4646, 4174, 3928, 3061, 4663, 2530]",975
"[4646, 5847, 4143, 4174, 111, 2220, 3928, 3061]",974
"[4143, 5847, 4174, 111, 4646, 3928, 3061, 2530]",971
"[4143, 4174, 4646, 5847, 4663, 3928, 695, 111]",965
"[5847, 4646, 4143, 3928, 4174, 695, 3061, 2530]",963
"[4143, 4174, 4646, 5847, 3928, 111, 3061, 4663]",963
"[4143, 5847, 4646, 4174, 3928, 2220, 111, 3061]",960
"[4143, 5847, 4174, 111, 3928, 4646, 3061, 2220]",953
"[4143, 4174, 5847, 4646, 4663, 695, 111, 3061]",932
"[4143, 4174, 4646, 5847, 3928, 111, 4663, 3061]",932
"[4143, 4646, 5847, 4174, 3928, 2530, 111, 3061]",931
"[5847, 4646, 4143, 3928, 4174, 111, 2220, 3061]",927
"[4174, 4143, 5847, 111, 4646, 4663, 695, 3061]",924
"[4143, 5847, 4174, 111, 3928, 4646, 2530, 4663]",913
"[5847, 4646, 4143, 3928, 4174, 695, 111, 3061]",906
"[4646, 5847, 4143, 3928, 4174, 2220, 3061, 2530]",903
"[4143, 5847, 4174, 111, 4646, 3928, 3061, 4663]",901
"[4143, 5847, 4174, 111, 4646, 3928, 2530, 3061]",884
"[4143, 4174, 5847, 111, 4646, 3928, 4663, 3061]",870
"[5847, 4646, 4143, 3928, 4174, 2530, 3061, 111]",865
"[4174, 4143, 5847, 111, 4646, 2220, 3928, 3061]",865
"[4143, 4646, 5847, 4174, 3928, 4663, 695, 3061]",861
