team,averageRank,averageRp,ranks,rps
648,40.6623,11.2307,"{22: 0.0001, 23: 0.0003, 24: 0.0016, 25: 0.0027, 26: 0.0031, 27: 0.0034, 28: 0.0009, 29: 0.0006, 30: 0.0013, 31: 0.0028, 32: 0.0059, 33: 0.0151, 34: 0.0694, 35: 0.1406, 36: 0.1077, 37: 0.0272, 38: 0.0038, 39: 0.0018, 40: 0.0011, 41: 0.0096, 42: 0.0459, 43: 0.1174, 44: 0.1587, 45: 0.1398, 46: 0.0958, 47: 0.0369, 48: 0.0064, 49: 0.0001}","{17: 0.0018, 16: 0.0103, 14: 0.0118, 13: 0.3644, 11: 0.0159, 10: 0.5958}"
9061,42.1122,11.1378,"{25: 0.0001, 30: 0.0001, 31: 0.0002, 32: 0.0005, 33: 0.0003, 34: 0.0018, 35: 0.0244, 36: 0.1037, 37: 0.1571, 38: 0.0779, 39: 0.0093, 40: 0.0033, 41: 0.0006, 42: 0.0094, 43: 0.0545, 44: 0.1191, 45: 0.1698, 46: 0.1403, 47: 0.0787, 48: 0.0358, 49: 0.0118, 50: 0.0013}","{16: 0.0001, 14: 0.0011, 13: 0.3776, 10: 0.6212}"
6805,43.2228,10.0214,"{25: 0.0002, 26: 0.0001, 27: 0.0003, 28: 0.0002, 29: 0.0001, 30: 0.0002, 31: 0.0002, 32: 0.0008, 33: 0.0048, 34: 0.0171, 35: 0.0195, 36: 0.0149, 37: 0.009, 38: 0.0045, 39: 0.0024, 40: 0.0029, 41: 0.033, 42: 0.153, 43: 0.2388, 44: 0.2048, 45: 0.1546, 46: 0.0716, 47: 0.0423, 48: 0.0195, 49: 0.0048, 50: 0.0004}","{16: 0.0009, 14: 0.0008, 13: 0.0609, 12: 0.0123, 11: 0.0003, 10: 0.73, 9: 0.1948}"
8766,43.7119,9.9848,"{24: 0.0001, 25: 0.0002, 26: 0.001, 27: 0.0071, 28: 0.0133, 29: 0.0095, 30: 0.002, 31: 0.0006, 32: 0.0011, 33: 0.001, 34: 0.001, 35: 0.0014, 36: 0.0026, 37: 0.0379, 38: 0.096, 39: 0.088, 40: 0.0511, 41: 0.0378, 42: 0.0363, 43: 0.0128, 44: 0.0055, 45: 0.0087, 46: 0.0939, 47: 0.2423, 48: 0.1882, 49: 0.0483, 50: 0.0065, 51: 0.0036, 52: 0.0021, 53: 0.0001}","{16: 0.0004, 15: 0.0329, 14: 0.0024, 13: 0.0034, 12: 0.2648, 11: 0.0959, 10: 0.0093, 9: 0.3875, 8: 0.1892, 7: 0.0058, 6: 0.0009, 5: 0.0045, 4: 0.003}"
7531,45.9799,9.1842,"{30: 0.0002, 32: 0.0001, 33: 0.0005, 34: 0.001, 35: 0.0021, 36: 0.0022, 37: 0.0021, 38: 0.0062, 39: 0.0066, 40: 0.0041, 41: 0.0055, 42: 0.0216, 43: 0.0567, 44: 0.0803, 45: 0.1451, 46: 0.2511, 47: 0.2053, 48: 0.1064, 49: 0.0606, 50: 0.0348, 51: 0.007, 52: 0.0005}","{14: 0.0007, 13: 0.0071, 12: 0.0175, 11: 0.0051, 10: 0.229, 9: 0.6938, 7: 0.001, 6: 0.0458}"
9579,46.5582,9.1778,"{31: 0.0002, 32: 0.0009, 33: 0.0029, 34: 0.0057, 35: 0.0057, 36: 0.0006, 37: 0.0001, 40: 0.0009, 41: 0.0092, 42: 0.0723, 43: 0.1496, 44: 0.1119, 45: 0.0133, 46: 0.0029, 47: 0.0015, 48: 0.2279, 49: 0.2707, 50: 0.112, 51: 0.0116, 52: 0.0001}","{14: 0.0161, 11: 0.3604, 8: 0.6235}"
5041,47.8514,7.6985,"{28: 0.0001, 31: 0.0001, 32: 0.0008, 33: 0.0007, 34: 0.0004, 35: 0.001, 36: 0.0009, 37: 0.001, 38: 0.0004, 39: 0.0004, 40: 0.0005, 41: 0.0072, 42: 0.0274, 43: 0.0673, 44: 0.0883, 45: 0.0661, 46: 0.0371, 47: 0.0179, 48: 0.0201, 49: 0.2749, 50: 0.3147, 51: 0.0698, 52: 0.0029}","{15: 0.0002, 14: 0.0013, 13: 0.004, 12: 0.0008, 11: 0.0207, 10: 0.2784, 9: 0.0295, 8: 0.0193, 7: 0.3093, 6: 0.3365}"
5275,48.4073,7.5945,"{32: 0.0001, 33: 0.0002, 34: 0.0004, 35: 0.0017, 36: 0.0035, 37: 0.0045, 38: 0.0028, 39: 0.0019, 40: 0.0003, 41: 0.0021, 42: 0.0053, 43: 0.0209, 44: 0.0688, 45: 0.0945, 46: 0.0671, 47: 0.0435, 48: 0.0247, 49: 0.0966, 50: 0.332, 51: 0.2118, 52: 0.0165, 53: 0.0008}","{14: 0.0004, 13: 0.0145, 12: 0.0005, 11: 0.0108, 10: 0.3006, 9: 0.0224, 8: 0.0019, 7: 0.326, 6: 0.26, 5: 0.0014, 4: 0.0252, 3: 0.0304, 2: 0.0059}"
11241,50.4408,5.874,"{36: 0.0006, 37: 0.0015, 38: 0.0012, 39: 0.0014, 40: 0.001, 41: 0.0019, 42: 0.0008, 45: 0.0005, 46: 0.0041, 47: 0.019, 48: 0.0549, 49: 0.062, 50: 0.1396, 51: 0.6433, 52: 0.0682}","{12: 0.0047, 11: 0.0037, 10: 0.0001, 9: 0.0687, 8: 0.1053, 6: 0.2277, 5: 0.5898}"
8821,51.8929,3.9334,"{44: 0.0002, 47: 0.0005, 48: 0.0008, 49: 0.0122, 50: 0.0287, 51: 0.0417, 52: 0.88, 53: 0.0359}","{11: 0.0002, 10: 0.0001, 9: 0.0002, 8: 0.0041, 7: 0.0569, 6: 0.0005, 5: 0.0389, 4: 0.8023, 3: 0.0042, 2: 0.0037, 1: 0.0706, 0: 0.0183}"
7038,52.9556,1.4431,"{49: 0.0001, 50: 0.0003, 51: 0.0067, 52: 0.0297, 53: 0.9632}","{8: 0.0004, 7: 0.0014, 5: 0.0057, 4: 0.1306, 2: 0.0173, 1: 0.8446}"
