team,rank,match,redScore,redStdev,redRp,redWinChance,redRpChances,blueScore,blueStdev,blueRp,blueWinChance,blueRpChances
3928,12,71,1.98,5.93,0.0,0.0001,"{0: 0.1788, 1: 0.0, 2: 0.0, 3: 0.0001, 4: 0.0, 5: 0.0, 6: 0.0}",63.08,137.63,0.8,0.1788,"{0: 0.0001, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0975, 5: 0.0813, 6: 0.0}"
3928,11,52,27.78,54.12,0.24,0.0232,"{0: 0.0652, 1: 0.1468, 2: 0.0, 3: 0.0006, 4: 0.0226, 5: 0.0, 6: 0.0}",43.62,81.15,0.87,0.212,"{0: 0.0044, 1: 0.0188, 2: 0.0, 3: 0.0002, 4: 0.2114, 5: 0.0004, 6: 0.0}"
3928,11,53,31.77,61.83,0.61,0.1387,"{0: 0.0371, 1: 0.0594, 2: 0.0, 3: 0.0085, 4: 0.1299, 5: 0.0003, 6: 0.0}",27.51,56.12,0.44,0.0965,"{0: 0.0764, 1: 0.0623, 2: 0.0, 3: 0.0086, 4: 0.0876, 5: 0.0003, 6: 0.0}"
3928,11,54,5.53,13.27,0.27,0.0905,"{0: 0.1447, 1: 0.0, 2: 0.0, 3: 0.0903, 4: 0.0002, 5: 0.0, 6: 0.0}",7.71,21.72,0.44,0.1447,"{0: 0.0905, 1: 0.0, 2: 0.0, 3: 0.1398, 4: 0.0049, 5: 0.0, 6: 0.0}"
3928,11,55,9.55,22.9,0.02,0.0051,"{0: 0.2238, 1: 0.0063, 2: 0.0, 3: 0.0044, 4: 0.0007, 5: 0.0, 6: 0.0}",54.04,106.6,0.93,0.2301,"{0: 0.0048, 1: 0.0003, 2: 0.0, 3: 0.0087, 4: 0.2065, 5: 0.0149, 6: 0.0}"
3928,11,56,40.0,79.49,0.64,0.1461,"{0: 0.0281, 1: 0.061, 2: 0.0, 3: 0.0028, 4: 0.1413, 5: 0.002, 6: 0.0}",32.15,67.11,0.44,0.0891,"{0: 0.0573, 1: 0.0888, 2: 0.0, 3: 0.0046, 4: 0.0838, 5: 0.0007, 6: 0.0}"
3928,11,57,4.05,11.49,0.46,0.1522,"{0: 0.083, 1: 0.0, 2: 0.0, 3: 0.1519, 4: 0.0003, 5: 0.0, 6: 0.0}",2.69,6.08,0.25,0.083,"{0: 0.1522, 1: 0.0, 2: 0.0, 3: 0.083, 4: 0.0, 5: 0.0, 6: 0.0}"
3928,11,58,40.41,78.46,0.71,0.1654,"{0: 0.0152, 1: 0.0546, 2: 0.0, 3: 0.0041, 4: 0.1604, 5: 0.0009, 6: 0.0}",30.52,70.41,0.37,0.0698,"{0: 0.0752, 1: 0.0902, 2: 0.0, 3: 0.002, 4: 0.0653, 5: 0.0025, 6: 0.0}"
3928,11,59,3.45,7.52,0.08,0.0277,"{0: 0.2075, 1: 0.0, 2: 0.0, 3: 0.0277, 4: 0.0, 5: 0.0, 6: 0.0}",9.02,18.87,0.62,0.2075,"{0: 0.0277, 1: 0.0, 2: 0.0, 3: 0.2063, 4: 0.0012, 5: 0.0, 6: 0.0}"
3928,11,60,37.49,74.32,0.23,0.0106,"{0: 0.0322, 1: 0.1922, 2: 0.0002, 3: 0.0004, 4: 0.01, 5: 0.0002, 6: 0.0}",77.13,146.19,0.99,0.2246,"{0: 0.0023, 1: 0.0082, 2: 0.0001, 3: 0.0, 4: 0.1435, 5: 0.0811, 6: 0.0}"
